Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1
Population	Population - Clumped Nuclei Selected

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Compound	Concentration	Cell Type	Cell Count	Clumped Nuclei Selected - Number of Nuclei Selected- per Object 	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object 	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object 	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object 	Clumped Nuclei Selected - Cell Roundness- Mean per Object 	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object 	
1	2	1	0	6	2	1334	354	[1322,343,1344,366]					1	2741	1456	382	0.92657	0.706018	
1	2	1	0	6	3	1124	705	[1112,680,1136,718]					1	1184	5151	698	0.818621	0.537245	
1	2	1	0	6	4	729	762	[685,735,754,790]					1	5439	1805	1788	0.72645	0.484984	
1	2	1	0	6	5	1088	1006	[1076,994,1097,1016]					1	2815	1406	320	0.968803	0.666667	
1	2	1	0	7	1	102	107	[85,92,118,125]					1	4224	1738	843	0.948719	0.809239	
1	2	1	0	7	2	366	142	[344,118,387,178]					3	19201	7295	1913	0.824931	0.489334	
1	2	1	0	7	3	1232	199	[1214,184,1250,216]					2	3210	2736	869	0.890218	0.551623	
1	2	1	0	7	4	1179	321	[1169,313,1188,330]					1	3444	1401	260	0.951426	0.685994	
1	2	1	0	7	5	1222	563	[1208,549,1238,580]					1	2230	1482	699	0.963487	0.77201	
1	2	1	0	7	6	412	641	[407,637,417,647]					1	3666	1321	84	1.0099	0.789844	
1	2	1	0	7	7	1112	786	[1091,768,1143,807]					1	3148	7501	1007	0.777768	0.310607	
1	2	1	0	7	8	920	923	[872,882,965,963]					3	11137	4554	1998	0.765835	0.430701	
1	2	1	0	8	1	197	49	[172,17,233,74]					3	8885	4401	2573	0.79455	0.444673	
1	2	1	0	8	2	536	115	[512,63,561,163]					2	3074	3517	1641	0.682772	0.333529	
1	2	1	0	8	3	792	312	[780,300,803,324]					1	1971	4108	420	0.964501	0.761712	
1	2	1	0	8	4	484	444	[458,428,503,476]					2	4968	3872	1343	0.751463	0.435101	
1	2	1	0	8	5	805	617	[797,609,818,634]					1	4109	1388	347	0.859059	0.477261	
1	2	1	0	8	6	634	650	[628,644,640,656]					1	4756	1360	116	1.01852	0.824463	
1	2	1	0	8	7	406	746	[385,648,477,765]					1	1859	1378	1799	0.439442	0.138072	
1	2	1	0	8	8	1240	695	[1218,674,1260,715]					2	4739	2950	1236	0.865574	0.498452	
1	2	1	0	8	9	49	720	[9,690,78,752]					3	10526	4715	2936	0.817968	0.542132	
1	2	1	0	8	10	666	919	[637,885,702,950]					4	15392	7247	2861	0.801579	0.467743	
1	2	1	0	8	11	743	957	[738,952,749,962]					1	2956	1228	90	0.929863	0.63847	
1	2	1	0	9	1	276	468	[241,432,296,489]					3	13143	4905	2225	0.878608	0.578837	
1	2	1	0	9	2	763	570	[746,556,778,585]					1	1732	1647	658	0.905206	0.705882	
1	2	1	0	9	3	541	580	[534,573,550,587]					1	6284	1364	173	1.03317	0.748539	
1	2	1	0	9	4	699	626	[691,619,710,638]					1	5407	1357	268	0.907559	0.583309	
1	2	1	0	9	5	949	646	[943,641,955,654]					1	4272	1303	129	0.978757	0.775343	
1	2	1	0	9	6	1262	792	[1250,779,1276,808]					1	1216	6684	581	0.965566	0.68071	
1	2	1	0	9	7	1061	962	[1018,948,1100,988]					3	9918	4147	1590	0.749788	0.40471	
1	3	1	0	1	1	706	359	[694,348,714,371]					1	3063	1572	334	0.886451	0.575509	
1	3	1	0	1	2	712	382	[702,373,722,392]					1	3044	1580	318	0.985124	0.80089	
1	3	1	0	1	3	741	381	[732,373,749,389]					1	5862	1615	221	1.01794	0.730838	
1	3	1	0	1	4	415	437	[408,430,424,445]					1	3545	1588	200	0.983628	0.764161	
1	3	1	0	1	5	528	671	[521,664,538,680]					1	2817	1562	231	0.969947	0.819288	
1	3	1	0	1	6	218	913	[197,892,240,935]					2	8014	3488	1426	0.883782	0.55282	
