Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Clumped Nuclei Selected - Number of Objects	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Mean per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - StdDev per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Sum per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Max per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Min per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Median per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Mean per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - StdDev per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Sum per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Max per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Min per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Median per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Mean per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - StdDev per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Sum per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Max per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Min per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Median per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Mean per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - StdDev per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Sum per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Max per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Min per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Median per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Mean per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - StdDev per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Sum per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Max per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Min per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Median per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Mean per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - StdDev per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Sum per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Max per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Min per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Median per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	9	1	0	136	2.36029411765	2.83541830245	321	19	1	1	7645.49264706	9809.2021339	1039787	64503	1031	4753	4776.89705882	5150.95476411	649658	30422	1508	3211	2666	3899.62699831	362576	26527	70	1405	0.752048280676	0.13136507694	102.278566172	1.00064234892	0.340488317153	0.736877835554	0.458539605049	0.157014751102	62.3613862866	0.826046573249	0.115069483114	0.427097228188	9	0	0					
2	10	1	0	116	2.48275862069	2.66207751045	288	18	1	2	6016.46551724	7048.45994456	697910	50519	1473	3824	4859.12068966	5403.63379211	563658	38840	1472	3050	2678.51724138	3482.70500937	310708	20298	125	1497	0.738926628701	0.125415436891	85.7154889293	1.01503329693	0.42199372718	0.726644059059	0.446207361954	0.152634073312	51.7600539867	0.86390464572	0.143871899464	0.42914787053	9	0	0					
2	11	1	0	135	2.8962962963	3.79959556778	391	26	1	2	7486.02222222	9715.66162738	1010613	60209	860	4496	5687.4	7179.14799876	767799	48343	1631	3431	3592.00740741	5152.87141296	484921	35107	84	1701	0.725024941213	0.12550574801	97.8783670637	1.01720714665	0.349372036301	0.735514873615	0.43473945928	0.13535080525	58.6898270027	0.84690104458	0.128235577114	0.430625877699	9	0	0					
2	12	1	0	103	2.05825242718	3.53366233037	212	34	1	1	5673.04854369	8286.09813374	584324	77826	847	3993	3894.99029126	6283.90634485	401184	59911	1268	1968	2372.01941748	4621.49353242	244318	41158	110	1149	0.767062441469	0.137305815025	79.0074314714	0.999556415219	0.377898171119	0.745547280214	0.478649954846	0.165508125475	49.3009453491	0.827884809878	0.0994592786392	0.444807873189	9	0	0					
3	1	1	0	87	2.02298850575	3.27064822355	176	21	1	1	6903.26436782	12084.8901078	600584	80643	803	3547	4155.3908046	7203.45631084	361519	47333	1346	2004	2186.71264368	3918.65716769	190244	23504	74	1108	0.770849734115	0.155440824518	67.063926868	1.01135879	0.323879699021	0.771674937642	0.530849645461	0.158938363917	46.1839191551	0.819231920519	0.219415808701	0.52342392259	9	0	0					
3	2	1	0	64	1.625	1.45296631451	104	10	1	1	6040.84375	5822.60513946	386614	34187	1030	3673	3763.734375	3123.67813436	240879	17383	1577	2752	1325.515625	1372.19643177	84833	7871	75	974	0.798332409902	0.143609619929	51.0932742337	1.04413614042	0.470824513639	0.816539623745	0.527059400734	0.159368831248	33.731801647	0.832971878823	0.188144173677	0.51870183631	9	0	0					
3	3	1	0	81	1.38271604938	0.814983147595	112	5	1	1	5198.19753086	4816.39998967	421054	23094	874	3100	3525.48148148	3109.19319563	285564	15000	871	2235	1084.98765432	958.921105903	87884	6127	82	786	0.809275011299	0.133185692739	65.5512759152	1.01483179468	0.532730558769	0.810076253435	0.555031746109	0.15571945357	44.9575714349	0.843757432859	0.237878076442	0.523276146212	9	0	0					
3	4	1	0	286	3.07342657343	3.89306988502	879	34	1	2	12075.9615385	15994.2784975	3453725	133797	1040	6607	6205.87762238	7833.56860193	1774881	69065	1460	3447	3050.51398601	4456.09468365	872447	38689	99	1573	0.745512610469	0.115541274304	213.216606594	1.03886155257	0.410043889131	0.741173134496	0.461060944551	0.139098818287	131.863430141	0.877058019307	0.155147660183	0.451150068949	9	0	0					
3	5	1	0	218	2.87155963303	3.3078622092	626	25	1	2	11736.7889908	15288.1370103	2558620	132948	1228	6728	5778.69724771	7354.68511828	1259756	56777	1415	3464	2906.06880734	3878.97878145	633523	38444	123	1543	0.750760704125	0.114146289133	163.665833499	1.01865107013	0.413108713082	0.751232396353	0.468754374498	0.133999623267	102.188453641	0.832949764232	0.200269775631	0.456483540092	9	0	0					
3	6	1	0	195	2.90769230769	4.92643744345	567	44	1	1	10930.1076923	18450.4581644	2131371	149775	971	5048	6283.51794872	10304.295094	1225286	83632	1452	2964	3175.67692308	5781.99608126	619257	58469	115	1463	0.727107940412	0.13232752049	141.78604838	1.05646037225	0.370050407929	0.736913803228	0.452100204008	0.151560503766	88.1595397815	0.84399571511	0.139995019497	0.439451104946	9	0	0					
3	7	1	0	375	3.808	6.3419020747	1428	82	1	2	14042.328	23320.5159039	5265873	294784	1120	6459	7366.25333333	12698.158767	2762345	166734	1393	3192	4053.36533333	6640.96024863	1520012	78852	114	1809	0.724850482973	0.118098881321	271.818931115	1.01035939689	0.295742828457	0.725770680449	0.449306207072	0.131837447088	168.489827652	0.854357657717	0.117037293292	0.445549364722	9	0	0					
3	8	1	0	314	3.22929936306	4.49759980216	1014	36	1	2	11836.7898089	15821.0540571	3716752	121225	1357	6485	6574.57961783	9174.43034533	2064418	66742	1519	3315	3319.3566879	5102.89438699	1042278	38524	116	1660	0.739129718601	0.110146992287	232.086731641	1.0115555921	0.384465757924	0.74645834321	0.457700086583	0.123180387702	143.717827187	0.80622577483	0.149200343944	0.461780907231	9	0	0					
3	9	1	0	311	3.81350482315	5.96797455233	1186	60	1	2	13658.659164	20725.0779962	4247843	194865	1371	6652	7050.44694534	11121.1838583	2192689	106001	1287	3664	3932.46623794	6216.20138633	1222997	58347	86	2003	0.737073538021	0.128906101731	229.229870324	1.03554956431	0.221445887283	0.7397084412	0.458555390511	0.131090855708	142.610726449	0.821840701618	0.108009130464	0.453476331427	9	0	0					
3	10	1	0	276	4.23913043478	6.13728319856	1170	62	1	2	14586.0072464	19992.4496019	4025738	191453	1141	7588	7551.52898551	10984.6433022	2084222	109376	1295	3625	4345.45652174	6798.08172367	1199346	68712	110	1908	0.754313400631	0.119455676403	208.190498574	1.0340108427	0.44566676969	0.743595347248	0.475966903559	0.137077930608	131.366865382	0.819231920519	0.125763173208	0.463609093227	9	0	0					
3	11	1	0	225	3.41333333333	5.17659568222	768	53	1	2	11560.5511111	16460.675499	2601124	143205	1440	6021	6169.86666667	9237.35392597	1388220	89690	1263	2861	3722.81333333	6364.33592448	837633	70909	113	1726	0.750028687606	0.120636782301	168.756454711	1.03104055663	0.42338588851	0.747735705495	0.464474722934	0.13775287998	104.50681266	0.837275897082	0.151277248155	0.453375130277	9	0	0					
3	12	1	0	138	2.8115942029	3.62382772314	388	21	1	1	8677.21014493	11985.2268276	1197455	61224	976	3990	5238.25362319	7179.93343204	722879	47179	1381	2762	2876.47826087	4201.16920503	396954	29182	121	1348	0.750986407374	0.127352815696	103.636124218	1.03208927318	0.371868802948	0.75470932202	0.482629510131	0.13835854037	66.602872398	0.831457007137	0.168098275704	0.466572858401	9	0	0					
4	1	1	0	29	1.34482758621	0.613878889228	39	3	1	1	5987.4137931	4014.35010322	173635	14630	1125	4636	2746.27586207	1418.34493328	79642	6717	1486	2171	922.068965517	688.870293153	26740	2595	146	782	0.854894125604	0.124477332784	24.7919296425	1.00029268902	0.406036004917	0.886402366002	0.613345994536	0.128317928732	17.7870338416	0.86144149422	0.35539760662	0.641099603007	9	0	0					
4	2	1	0	22	1.13636363636	0.351250086657	25	2	1	1	3431.5	2314.5513347	75493	9625	866	2954	2717.86363636	1495.26593575	59793	7272	1440	2404	1098.68181818	1443.86499786	24171	5903	75	599	0.88111606177	0.150168684669	19.3845533589	1.01237866188	0.414926221005	0.924659255098	0.627100321712	0.140885616123	13.7962070777	0.888056041657	0.157523603428	0.620097597294	9	0	0					
4	3	1	0	38	1.57894736842	1.46364186558	60	9	1	1	6390.47368421	6004.77530123	242838	31197	1659	4150	3717.05263158	4084.18212361	141248	23192	1336	2340	1080.84210526	1146.06314449	41072	6019	118	646	0.882098617013	0.10036983493	33.5197474465	1.00578193771	0.552699864369	0.889034723576	0.615904508876	0.144811469537	23.4043713373	0.835455909777	0.23681738582	0.60409724436	9	0	0					
4	4	1	0	66	1.65151515152	1.46226825112	109	11	1	1	6044.74242424	4192.9842294	398953	21834	998	5279	3148.66666667	2603.80808895	207812	18655	1371	2266	1342.1969697	1270.50748455	88585	7813	77	1081	0.817147916553	0.134454894751	53.9317624925	1.01672525818	0.402808857502	0.845773900698	0.55592123486	0.176680477157	36.6908015007	0.843274042712	0.140334080917	0.56766567769	9	0	0					
4	5	1	0	97	1.73195876289	1.35796618697	168	9	1	1	5422.08247423	5569.44627834	525942	31035	813	3242	3232.48453608	2641.04791826	313551	14776	1294	2081	1528.46391753	1495.61819759	148261	7026	85	1020	0.820443861793	0.134986951189	79.583054594	1.01763232002	0.463438968687	0.843136947519	0.558137131242	0.162449525424	54.1393017305	0.839613300901	0.148864585513	0.558403850208	9	0	0					
4	6	1	0	40	1.375	0.627877989127	55	3	1	1	5820.625	3668.58872947	232825	12941	1003	5119	3093.225	1613.73914404	123729	7089	1303	2912	1321.725	1309.09111135	52869	5604	108	916	0.823829657302	0.159601417693	32.9531862921	1.0113425017	0.390209034963	0.861778885691	0.56489371653	0.17904281018	22.5957486612	0.845770930662	0.193537199005	0.548357493192	9	0	0					
4	7	1	0	141	2.39716312057	2.08696441418	338	14	1	2	8288.46808511	7058.62584619	1168674	41998	1216	5497	4265.63829787	3882.1695541	601455	24234	1292	3068	2194.18439716	2535.8024726	309380	14801	75	1264	0.788938975526	0.128646377158	111.240395549	1.04770503531	0.485942763954	0.782982258685	0.491895318815	0.16756177311	69.3572399529	0.838116354923	0.155026433297	0.46705780152	9	0	0					
4	8	1	0	163	2.43558282209	2.36757105781	397	14	1	2	7969.95705521	7573.91064436	1299103	44355	1181	5408	4412.19018405	4149.35710706	719187	23712	1388	3069	2348.21472393	2650.5517938	382759	19573	82	1583	0.765405945222	0.14466314725	124.761169071	1.04043197463	0.283413119689	0.764968335458	0.467205998973	0.175596135761	76.1545778326	0.877058019307	0.0906379571087	0.440474114883	9	0	0					
4	9	1	0	153	2.33986928105	2.35126897064	358	16	1	1	7933.73202614	7466.45877541	1213861	45438	921	4968	4226.19607843	4296.64853029	646608	27412	1344	2509	2246.28104575	2724.2184646	343681	17996	87	1157	0.772281893218	0.128734167368	118.159129662	1.03424918877	0.479041369752	0.760758144103	0.468892787845	0.161784313569	71.7405965403	0.826046573249	0.152208478129	0.446344373774	9	0	0					
